Object,Total,Success,Failures,Date
pqcrush_pq_crush_account_plan_user_setting_c,10,10,0,2026-01-10 10:24:05
pqcrush_pq_crush_account_plan_user_setting_history,10,10,0,2026-01-10 10:24:06
pqcrush_pq_crush_plan_overview_c,532,532,0,2026-01-10 10:24:14
pqcrush_pq_crush_plan_overview_history,1412,1412,0,2026-01-10 10:24:16
pqcrush_pq_crush_user_setting_c,32,32,0,2026-01-10 10:24:24
pqcrush_pq_influence_and_support_matrix_c,2,2,0,2026-01-10 10:24:33
pqcrush_pq_influence_and_support_matrix_history,2,2,0,2026-01-10 10:24:34
pqcrush_pq_influence_c,6,6,0,2026-01-10 10:24:42
pqcrush_pq_influence_history,6,6,0,2026-01-10 10:24:43
pqcrush_pq_influence_matrix_association_c,6,6,0,2026-01-10 10:24:50
pqcrush_pq_influence_matrix_association_history,6,6,0,2026-01-10 10:24:52
pqcrush_pq_opportunity_manager_setting_c,2,2,0,2026-01-10 10:24:59
pqcrush_pq_opportunity_manager_setting_history,2,2,0,2026-01-10 10:25:01
pqcrush_pq_opportunity_plan_c,6644,6644,0,2026-01-10 10:25:12
pqcrush_pq_support_c,8,8,0,2026-01-10 10:25:20
pqcrush_pq_support_history,8,8,0,2026-01-10 10:25:21
pqcrush_pq_support_matrix_association_c,8,8,0,2026-01-10 10:25:28
pqcrush_pq_support_matrix_association_history,8,8,0,2026-01-10 10:25:30
pqcrush_relationship_group_c,56,56,0,2026-01-10 10:25:38
pqcrush_relationship_group_contact_association_c,28,28,0,2026-01-10 10:25:45
pqcrush_relationship_group_contact_association_history,28,28,0,2026-01-10 10:25:47
pqcrush_relationship_group_history,56,56,0,2026-01-10 10:25:48
pqcrush_relationship_group_lead_association_c,16,16,0,2026-01-10 10:25:56
pqcrush_relationship_group_lead_association_history,16,16,0,2026-01-10 10:25:57
pqcrush_relationship_group_user_association_c,2,2,0,2026-01-10 10:26:05
pqcrush_relationship_map_c,140,140,0,2026-01-10 10:26:13
pqcrush_relationship_map_member_c,930,930,0,2026-01-10 10:26:22
pqcrush_relationship_map_member_history,2422,2422,0,2026-01-10 10:26:24
pqcrush_rm_anchor_c,26,26,0,2026-01-10 10:26:32
pqcrush_rm_chart_setting_c,44,44,0,2026-01-10 10:26:42
pqcrush_rm_chart_setting_history,44,44,0,2026-01-10 10:26:44
pqcrush_rm_node_coordinate_c,1050,1050,0,2026-01-10 10:26:52
pqcrush_rm_org_setting_c,8,8,0,2026-01-10 10:27:02
pqcrush_rm_org_setting_history,8,8,0,2026-01-10 10:27:03
pqcrush_rm_svg_c,696,696,0,2026-01-10 10:27:12
pqcrush_rm_svg_history,696,696,0,2026-01-10 10:27:14
pqcrush_rm_svg_node_association_c,230,230,0,2026-01-10 10:27:22
pqcrush_rm_svg_node_association_history,230,230,0,2026-01-10 10:27:24
pqcrush_team_member_c,194,194,0,2026-01-10 10:27:33
pqcrush_team_member_history,204,204,0,2026-01-10 10:27:35
pqcrush_template_section_c,30,30,0,2026-01-10 10:27:43
pqcrush_white_space_amount_type_c,6,6,0,2026-01-10 10:27:51
pricebook_2,4,4,0,2026-01-10 10:28:01
pricebook_entry,348,348,0,2026-01-10 10:28:10
product_2,132,132,0,2026-01-10 10:28:19
qingflow_copy,81142,81142,0,2026-01-10 10:29:06
qingflow,233693,233693,0,2026-01-10 10:31:32
quote_history,3398,3398,0,2026-01-10 10:31:35
quote_product_c,2514,2514,0,2026-01-10 10:31:45
quote,2148,2148,0,2026-01-10 10:32:09
record_type,90,90,0,2026-01-10 10:32:19
revenue_c,13049,13049,0,2026-01-10 10:32:39
rule_territory_2_association,2,2,0,2026-01-10 10:32:40
salesforce__daily_activity,2054,2054,0,2026-01-10 10:32:42
salesforce__manager_performance,36,36,0,2026-01-10 10:32:46
salesforce__opportunity_enhanced,2518,2518,0,2026-01-10 10:32:53
salesforce__owner_performance,362,362,0,2026-01-10 10:32:58
salesforce__sales_snapshot,2,2,0,2026-01-10 10:33:01
salesforce_oppo_field_history,4818,4818,0,2026-01-10 10:33:04
salesforce_order_product,8582,8582,0,2026-01-10 10:33:17
salesforce_task,221324,221324,0,2026-01-10 10:35:12
service_man_day_c,6,6,0,2026-01-10 10:35:21
stg_salesforce__account,3044,3044,0,2026-01-10 10:35:26
stg_salesforce__lead,126409,126409,0,2026-01-10 10:36:43
stg_salesforce__opportunity,2518,2518,0,2026-01-10 10:36:48
stg_salesforce__task,148241,148241,0,2026-01-10 10:38:17
stg_salesforce__user,362,362,0,2026-01-10 10:38:20
territory_2_model_history,2,2,0,2026-01-10 10:38:22
territory_2_model,2,2,0,2026-01-10 10:38:30
time_slot,10,10,0,2026-01-10 10:38:32
uniq_tidb_port_id,104700,104700,0,2026-01-10 10:39:43
user_daily_metric,1036,1036,0,2026-01-10 10:39:49
user_defined_label,2,2,0,2026-01-10 10:39:57
user_monthly_metric,116,116,0,2026-01-10 10:40:05
user_role,86,86,0,2026-01-10 10:40:13
